"PLOT","INVYR","Common.Name","DEAD","ELEV","LON","LAT"
81994,2021,"Douglas-fir",0,5960,-111.033376,34.28005
82187,2002,"Douglas-fir",6,7760,-109.30933,31.851354
82187,2012,"Douglas-fir",17,7760,-109.30933,31.851354
82200,2003,"Douglas-fir",5,8540,-110.790426,32.449586
82200,2013,"Douglas-fir",6,8540,-110.790426,32.449586
82202,2003,"Douglas-fir",5,7020,-110.832837,34.250051
82202,2013,"Douglas-fir",5,7020,-110.832837,34.250051
82330,2010,"Douglas-fir",0,7090,-109.822163,33.347486
82330,2020,"Douglas-fir",4,7090,-109.822163,33.347486
82372,2007,"Douglas-fir",4,8010,-111.824296,35.427059
82372,2017,"Douglas-fir",4,8010,-111.824296,35.427059
82488,2002,"Douglas-fir",2,6560,-110.026666,34.159067
82488,2012,"Douglas-fir",1,6560,-110.026666,34.159067
82604,2004,"Douglas-fir",2,7160,-111.22152,34.473149
82604,2014,"Douglas-fir",8,7160,-111.22152,34.473149
82619,2010,"Douglas-fir",0,7700,-109.066575,36.130823
82619,2020,"Douglas-fir",0,7700,-109.066575,36.130823
82678,2004,"Douglas-fir",0,8070,-109.252248,33.946694
82678,2014,"Douglas-fir",0,8070,-109.252248,33.946694
82697,2005,"Douglas-fir",1,7980,-109.991,32.717604
82697,2015,"Douglas-fir",1,7980,-109.991,32.717604
82789,2006,"Douglas-fir",1,7780,-110.325099,36.643592
82789,2016,"Douglas-fir",1,7780,-110.325099,36.643592
82811,2001,"Douglas-fir",0,7980,-111.846697,35.440098
82811,2011,"Douglas-fir",1,7980,-111.846697,35.440098
82811,2021,"Douglas-fir",0,7980,-111.846697,35.440098
82844,2007,"Douglas-fir",0,8420,-111.656514,35.289382
82844,2017,"Douglas-fir",0,8420,-111.656514,35.289382
83048,2005,"Douglas-fir",0,8670,-109.489266,34.064224
83048,2015,"Douglas-fir",0,8670,-109.489266,34.064224
83057,2005,"Douglas-fir",0,7550,-111.191354,34.452884
83057,2015,"Douglas-fir",0,7550,-111.191354,34.452884
83073,2010,"Douglas-fir",2,8090,-112.282027,36.362123
83073,2020,"Douglas-fir",2,8090,-112.282027,36.362123
83080,2006,"Douglas-fir",1,6730,-109.97004,33.974975
83080,2016,"Douglas-fir",1,6730,-109.97004,33.974975
83139,2007,"Douglas-fir",0,8020,-109.162574,36.449984
83139,2017,"Douglas-fir",0,8020,-109.162574,36.449984
83166,2003,"Douglas-fir",1,6870,-110.523648,32.132029
83166,2013,"Douglas-fir",2,6870,-110.523648,32.132029
83218,2005,"Douglas-fir",1,9020,-109.479342,33.974481
83218,2010,"Douglas-fir",0,9020,-109.479342,33.974481
83218,2020,"Douglas-fir",1,9020,-109.479342,33.974481
83287,2006,"Douglas-fir",0,8670,-111.991024,35.335479
83287,2016,"Douglas-fir",0,8670,-111.991024,35.335479
83296,2006,"Douglas-fir",1,9280,-109.319065,33.972048
83296,2016,"Douglas-fir",4,9280,-109.319065,33.972048
