Date,Time,Latitude,Longitude,Magnitude
5/3/16,20:20:55,37.204,-97.6108,2.6
5/2/16,3:04:47,37.2265,-97.975,2.6
5/1/16,5:37:39,37.2032,-97.8943,3.3
4/23/16,4:04:59,37.0687,-97.919,2.1
4/5/16,15:43:06,37.0112,-97.744,2.6
4/2/16,23:26:10,37.0549,-97.737,2.6
4/1/16,16:34:57,37.3207,-97.4957,1.9
3/21/16,0:25:57,37.5941,-97.8383,2.8
3/19/16,21:34:39,37.0969,-98.025,2.9
3/15/16,23:11:33,37.1512,-98.0063,2.5
3/15/16,3:07:46,37.052,-97.9097,2.2
3/14/16,23:53:49,37.0027,-98.049,2.5
2/25/16,2:39:39,37.0471,-97.9219,2.6
2/21/16,23:52:14,37.128,-97.647,2.8
2/10/16,20:57:35,37.0461,-97.8908,3
2/5/16,0:28:28,37.0958,-98.0328,2.1
2/4/16,3:47:25,37.0925,-98.0581,2.7
1/1/16,12:25:51,37.1339,-97.6482,2.6
12/31/15,16:31:32,37.1305,-97.6559,2.8
12/31/15,14:16:43,37.0985,-97.6585,2.6
12/29/15,17:46:14,37.2774,-97.6156,2.7
12/23/15,23:03:56,37.3315,-98.8452,2.5
12/12/15,17:24:34,37.1527,-98.0083,2.2
12/7/15,0:51:45,37.0832,-97.6322,2.7
12/1/15,14:29:25,37.2539,-97.839,2.7
11/29/15,12:39:26,37.1856,-97.9546,2.8
11/28/15,18:05:58,37.2028,-97.9737,2.6
11/18/15,0:05:14,37.043,-97.9166,2.2
11/15/15,16:48:18,39.5775,-98.5718,2.6
11/15/15,14:42:07,39.5941,-98.5746,2.9
11/14/15,3:46:49,37.0148,-97.9301,2.8
11/11/15,4:16:59,37.1267,-97.6167,2.0
11/10/15,0:31:39,37.0132,-97.5522,2.6
11/9/15,23:35:17,37.1206,-97.6221,2.6
11/9/15,22:42:06,37.0936,-97.6168,3.6
11/7/15,6:59:46,37.4315,-97.9847,2.9
10/31/15,17:14:19,37.0004,-97.5872,2.9
10/31/15,15:06:53,37.0014,-97.585,2.2
10/31/15,4:17:52,37.0597,-97.7446,2.6
10/30/15,20:03:49,37.0613,-97.526,2.6
10/30/15,4:37:02,37.1512,-97.6095,3.4
10/27/15,3:06:49,37.1245,-97.6214,3.6
10/27/15,2:21:47,37.1206,-97.6078,3.3
10/19/15,11:09:04,37.0449,-97.9106,2.8
10/19/15,3:14:15,37.0582,-97.9155,2.8
10/19/15,0:08:50,37.1256,-97.5983,3.0
10/18/15,19:16:23,37.2483,-97.9995,2.8
10/17/15,13:20:00,37.0532,-97.9381,3.4
10/17/15,12:12:50,37.0352,-97.9292,3.4
10/15/15,5:10:19,37.0515,-97.939,2.8
10/15/15,5:09:56,37.0393,-97.9212,2.9
10/12/15,10:22:58,37.2006,-97.9728,3.0
10/11/15,23:46:16,37.0467,-97.903,3.0
10/10/15,1:25:49,37.2027,-98.0159,3.3
10/10/15,1:23:32,37.2205,-97.9879,3.0
10/3/15,17:33:06,37.0882,-98.0387,2.9
10/3/15,5:11:58,37.1003,-97.6961,3.4
9/28/15,1:39:50,37.062,-97.5183,2.5
9/20/15,11:17:52,37.0374,-97.9131,3.0
9/18/15,2:12:01,37.4453,-98.9217,3.4
9/14/15,21:34:51,37.054,-97.4994,2.9
9/12/15,17:45:05,37.0598,-97.526,2.5
9/12/15,13:12:31,37.2686,-97.5907,2.5
9/12/15,0:55:33,37.0438,-97.9189,3.3
9/7/15,20:13:35,37.2518,-97.5514,1.6
9/6/15,0:24:10,37.0465,-97.5224,2.5
9/5/15,4:04:21,39.2827,-99.3519,2.6
9/3/15,7:21:23,37.2538,-98.0857,2.7
9/2/15,6:04:06,37.1986,-97.9685,2.6
9/1/15,12:21:31,37.0592,-97.8517,2.4
9/1/15,11:41:00,37.0376,-97.5292,3.1
8/29/15,14:39:05,37.056,-97.4919,3.1
8/29/15,12:14:03,37.1056,-98.0008,2.6
8/27/15,23:20:05,37.0579,-97.521,2.8
8/22/15,17:35:24,37.0463,-97.8995,2.3
8/20/15,13:17:54,37.0542,-97.914,3.4
8/8/15,13:57:33,37.038,-97.8931,3.2
8/4/15,16:31:34,37.023,-97.944,2.5
7/27/15,3:43:43,37.072,-97.9973,2.9
7/22/15,17:21:46,37.0082,-97.9117,2.8
7/22/15,3:17:41,37.026,-97.9354,2.9
7/19/15,8:53:18,37.3358,-98.18,2.8
7/14/15,15:33:25,37.0349,-97.915,2.6
7/13/15,2:44:09,37.2391,-98.0407,2.7
7/12/15,1:28:22,37.0528,-97.9469,2.5
7/10/15,5:00:17,37.6119,-97.7634,2.8
7/8/15,23:10:08,37.0133,-99.224,2.7
7/8/15,23:08:24,37.0674,-99.1637,2.6
7/8/15,18:37:33,37.2477,-97.5876,2.3
7/3/15,19:59:19,37.2322,-97.9591,2.9
7/2/15,22:45:36,37.0416,-97.8505,2.6
6/30/15,14:28:12,37.1448,-98.0106,2.3
6/15/15,19:49:06,37.0357,-97.9008,3.4
6/8/15,4:28:16,37.2353,-97.9531,3.4
6/5/15,23:12:47,37.2608,-97.922,4.1
6/5/15,23:12:41,37.2171,-97.9694,3.6
6/5/15,22:53:05,37.2214,-97.9528,3.2
6/2/15,0:58:09,37.0317,-97.9035,3.0
5/30/15,21:10:24,37.053,-97.9219,3.2
5/30/15,11:21:40,37.0346,-97.9128,3.6
5/28/15,16:44:32,37.0775,-97.8496,2.5
5/24/15,21:49:47,37.1399,-97.6474,3.4
5/23/15,18:44:27,37.4277,-98.9639,4.0
5/23/15,15:11:40,37.4409,-98.9383,3.3
5/22/15,16:43:35,37.1941,-98.0286,2.3
5/21/15,6:34:38,37.2835,-98.0566,2.2
5/14/15,10:04:32,37.0294,-97.8997,3.3
5/11/15,9:59:26,37.0573,-97.852,1.7
5/10/15,2:36:25,37.1998,-98.0446,2.0
5/6/15,15:38:10,37.17,-98.0179,2.7
5/6/15,10:05:07,37.2594,-98.0378,3.2
5/6/15,9:12:18,37.2462,-98.0526,3.0
5/6/15,9:12:09,37.2703,-98.0535,2.5
5/4/15,7:35:50,37.0803,-98.0329,2.9
5/2/15,8:30:35,37.1174,-98.015,2.7
4/29/15,7:01:53,37.013,-97.9219,2.5
4/22/15,13:48:10,37.0473,-97.9228,2.8
4/21/15,2:03:55,37.0032,-97.5862,2.1
4/19/15,22:33:56,37.0596,-97.9321,2.6
4/6/15,1:33:45,37.0724,-98.0476,3.0
4/4/15,17:47:25,37.2131,-98.0505,2.6
4/1/15,7:53:48,37.0694,-97.8289,2.2
3/29/15,23:26:10,37.0516,-97.9209,2.3
3/27/15,21:14:59,37.0944,-98.0581,2.3
3/27/15,20:20:33,37.0445,-97.9137,3.1
3/27/15,12:04:40,37.1561,-98.0112,2.1
3/26/15,13:44:03,37.2507,-97.6218,2.7
3/25/15,6:23:08,37.0653,-97.8437,2.3
3/25/15,1:58:58,37.2098,-98.0474,2.3
3/24/15,15:35:55,37.0887,-97.6317,3.2
3/24/15,15:31:51,37.1067,-97.6476,3.7
3/23/15,1:45:06,37.0533,-97.8878,2.0
3/21/15,9:29:28,37.1979,-98.0038,2.5
3/19/15,1:25:50,37.0428,-97.8364,2.6
3/19/15,0:00:19,37.0873,-97.8447,2.1
3/17/15,5:50:10,37.0019,-97.8145,3.2
3/16/15,6:13:12,37.1989,-97.881,2.8
3/16/15,5:48:27,37.213,-97.878,3.5
3/13/15,21:16:36,37.0781,-97.8537,2.1
3/11/15,13:05:38,37.0714,-97.8933,2.9
3/7/15,16:19:35,37.0723,-97.8955,2.1
3/5/15,16:19:09,37.2823,-98.0098,2.6
3/5/15,13:16:36,37.2943,-98.0171,1.9
3/5/15,6:03:23,37.0861,-97.9949,2.6
3/5/15,1:46:14,37.0984,-97.7958,2.9
3/3/15,15:56:01,37.1973,-97.9054,3.8
3/3/15,5:10:22,37.2742,-98.0518,2.8
3/1/15,2:47:20,37.0905,-97.8534,3.5
2/28/15,8:44:05,37.0902,-97.8391,2.8
2/28/15,0:37:56,37.0858,-97.8721,2.5
2/24/15,0:27:27,37.0809,-97.8549,2.0
2/22/15,5:55:00,37.2507,-98.0108,2.5
2/19/15,10:51:13,37.0538,-97.9427,2.3
2/18/15,22:23:45,37.1552,-97.8996,2.9
2/16/15,1:44:34,37.0293,-97.9188,2.0
2/15/15,18:27:08,37.1809,-97.9053,3.6
2/15/15,17:38:55,37.1856,-97.8789,2.9
2/14/15,18:09:22,37.0187,-97.9083,3.0
2/12/15,14:48:13,37.1836,-98.0511,2.7
2/10/15,7:32:35,37.2162,-98.0013,3.6
2/9/15,3:14:18,37.0599,-97.8548,2.4
2/5/15,10:32:06,37.077,-97.8485,2.9
2/4/15,13:20:31,37.1956,-97.8983,3.4
2/3/15,22:19:14,37.1022,-97.6653,3.4
2/1/15,0:00:09,37.0131,-98.1565,2.5
1/29/15,20:21:38,37.1848,-97.8359,3.4
1/29/15,5:58:18,37.0958,-97.6554,3.1
1/29/15,3:33:26,37.0925,-97.6367,3.1
1/28/15,17:42:02,37.203,-97.8937,3.0
1/27/15,9:28:29,37.0758,-97.6663,2.9
1/27/15,7:38:05,37.073,-97.6559,3.4
1/27/15,5:28:53,37.0821,-97.6646,3.1
1/25/15,1:35:09,37.1071,-97.7327,2.7
1/23/15,6:31:12,37.0957,-97.6434,2.1
1/23/15,4:00:41,37.0787,-97.6497,3.7
1/20/15,4:10:49,37.4568,-97.9617,2.6
1/19/15,9:54:31,37.1885,-97.8849,3.5
1/15/15,16:04:46,37.0502,-97.8994,2.9
1/15/15,16:01:48,37.2045,-97.5921,2.7
1/11/15,0:05:08,37.2031,-97.8874,2.9
1/10/15,16:36:26,37.1739,-97.9139,3.2
1/8/15,21:50:44,37.2002,-98.0229,2.2
1/8/15,19:23:38,37.263,-98.0338,2.3
1/8/15,11:47:35,37.1088,-98.0099,2.2
1/5/15,21:54:35,37.2586,-97.9503,2.9
1/4/15,23:57:18,37.2492,-98.0428,2.6
1/4/15,10:55:40,37.2385,-98.0076,3.5
10/8/15,21:15:23,37.061667,-98.051333,1.97
10/8/15,1:32:15,37.1585,-97.822667,2.39
10/7/15,10:01:37,37.062,-97.520167,1.8
10/7/15,0:39:53,37.331333,-97.505667,2.04
10/6/15,13:18:16,37.092167,-98.035167,2.18
10/4/15,19:22:25,37.323667,-97.513167,1.89
10/4/15,11:35:16,37.2255,-97.873833,2.46
10/4/15,7:41:33,37.322667,-97.5135,1.71
10/4/15,3:28:30,37.324,-97.513167,2.25
10/3/15,17:33:06,37.0882,-98.0387,2.9
10/3/15,9:46:07,37.059833,-97.523167,2.32
10/3/15,7:34:48,37.236833,-98.040667,1.88
10/3/15,5:11:58,37.1003,-97.6961,3.3
10/2/15,23:43:38,37.2315,-98.021333,1.77
10/2/15,17:14:29,37.204667,-97.974833,1.92
10/1/15,6:08:47,37.062167,-97.519333,2
10/1/15,3:45:46,37.063333,-97.520833,1.95
9/30/15,9:05:23,37.248,-97.555667,2.62
9/30/15,7:10:44,37.108333,-97.993667,1.98
9/29/15,3:29:24,37.001333,-97.995,1.86
9/28/15,10:48:52,37.058167,-97.5295,1.9
9/28/15,10:39:00,37.058833,-97.527333,1.82
9/28/15,1:39:50,37.062,-97.5183,2.5
9/28/15,1:39:50,37.062,-97.518333,2.49
9/25/15,1:16:13,37.099833,-97.701333,1.96
9/25/15,0:38:37,37.235,-97.965667,1.88
9/25/15,0:20:17,37.100333,-97.7005,2.07
9/22/15,16:19:02,37.158,-97.8235,2.36
9/22/15,16:18:54,37.158,-97.825167,1.68
9/22/15,7:55:33,37.061833,-97.520333,1.79
9/22/15,4:53:21,37.225667,-97.871333,2.43
9/21/15,11:27:12,37.225167,-97.8715,1.9
9/20/15,12:47:38,37.002833,-97.590333,2.09
9/20/15,11:17:52,37.0374,-97.9131,2.9
9/20/15,5:17:12,37.093,-97.601333,1.79
9/20/15,4:46:07,37.204,-97.975167,2.27
9/19/15,22:35:06,37.203333,-97.974333,1.96
9/19/15,17:13:34,37.002333,-97.5885,2.35
9/19/15,16:22:39,37.125,-97.557333,1.9
9/18/15,2:12:01,37.4453,-98.9217,3.7
9/17/15,8:00:52,37.225833,-97.871167,2.33
9/16/15,10:07:58,37.243,-98.038667,2.3
9/15/15,20:47:15,37.054667,-97.919,2.02
